seconds_from_midnight,temp_in_kelvin,rh_in_percent,pressure_in_pascal,aer_in_per_second,light_switch
3600,293,50,101537.07,6.94445E-05,0
7200,293,50,101537.07,6.94445E-05,0
10800,293,50,101537.07,6.94445E-05,0
14400,293,50,101537.07,6.94445E-05,0
18000,293,50,101537.07,6.94445E-05,0
21600,293,50,101537.07,6.94445E-05,0
25200,293,50,101537.07,6.94445E-05,0
28800,293,50,101537.07,6.94445E-05,1
32400,293,50,101537.07,6.94445E-05,1
36000,293,50,101537.07,6.94445E-05,1
39600,293,50,101537.07,6.94445E-05,1
43200,293,50,101537.07,6.94445E-05,1
46800,293,50,101537.07,6.94445E-05,1
50400,293,50,101537.07,6.94445E-05,1
54000,293,50,101537.07,6.94445E-05,1
57600,293,50,101537.07,6.94445E-05,1
61200,293,50,101537.07,6.94445E-05,1
64800,293,50,101537.07,6.94445E-05,1
68400,293,50,101537.07,6.94445E-05,1
72000,293,50,101537.07,6.94445E-05,0
75600,293,50,101537.07,6.94445E-05,0
79200,293,50,101537.07,6.94445E-05,0
82800,293,50,101537.07,6.94445E-05,0
86400,293,50,101537.07,6.94445E-05,0